,playerId,zoneCode,teamId,time,name
285,8478874.0,N,3.0,0.08333333333333333,Adam Gaudette
351,8480001.0,N,3.0,0.08333333333333333,Urho Vaakanainen
165,8477456.0,D,3.0,0.08333333333333333,J.T. Compher
169,8477498.0,D,3.0,0.08333333333333333,Darnell Nurse
459,8481618.0,D,3.0,0.08333333333333333,Alex Newhook
231,8478402.0,N,3.0,0.08333333333333333,Connor McDavid
488,8482078.0,D,3.0,0.08333333333333333,Lucas Raymond
495,8482093.0,N,3.0,0.08333333333333333,Seth Jarvis
155,8477369.0,N,3.0,0.08333333333333333,Carson Soucy
144,8476931.0,D,3.0,0.08333333333333333,Jake McCabe
208,8477969.0,D,3.0,0.08333333333333333,Marcus Pettersson
424,8481522.0,N,3.0,0.08333333333333333,Peyton Krebs
228,8478397.0,O,3.0,0.08333333333333333,Rasmus Andersson
436,8481554.0,O,3.0,0.08333333333333333,Kaapo Kakko
438,8481557.0,D,3.0,0.08333333333333333,Matt Boldy
198,8477946.0,D,3.0,0.08333333333333333,Dylan Larkin
