term,even_xgf,playerId,name,position,teamId,even_xga,pp_xgf,pk_xga
8475193,-0.058813883138654786,8475193.0,Tomas Tatar,L,1,-0.13557780267713945,0.02299070184314945,-0.037407543536613755
8475287,-0.0489195835603755,8475287.0,Erik Haula,L,1,0.042584079991298485,-0.03708487945391899,0.02294409929283007
8475455,-0.011153833904060445,8475455.0,Brenden Dillon,D,1,0.03106626352870373,-0.14900677472428178,0.12787541471948594
8475722,0.02557418473314026,8475722.0,Jason Zucker,L,7,0.020025312257550894,0.12225417460176412,-0.1609975092448332
8476292,-0.05596211284601994,8476292.0,Ondrej Palat,L,1,0.10555052822239534,-0.0075134053512985926,-0.02672158411666537
8476462,0.15755920129220188,8476462.0,Dougie Hamilton,D,1,0.03262426876160179,0.3508504698147691,-0.13564087646674952
8476474,0.04516369250124706,8476474.0,Stefan Noesen,R,1,-0.04103331702739713,0.30659162969376763,-0.10999336705720103
8477365,-0.09145464046354734,8477365.0,Connor Clifton,D,7,-0.011699801863614162,-0.09350813535765123,0.010621559531243356
8477508,-0.15889728129596686,8477508.0,Curtis Lazar,C,1,-0.016415062865667435,-0.04528044581714937,0.01856764503436234
8477949,-0.01229178697130786,8477949.0,Alex Tuch,R,7,-0.05336822674275698,0.09570692362902244,0.0012509356806844384
8477979,-0.04802261950116953,8477979.0,Nicolas Aube-Kubel,R,7,-0.04439619927789295,-0.0022994756588841066,-0.000825669330725078
8478043,-0.1424762642522839,8478043.0,Sam Lafferty,C,7,-0.004398166376833281,-0.027195493882586273,0.012767410791361034
8478399,-0.0818966741823859,8478399.0,Jonas Siegenthaler,D,1,-0.19980699870734195,-0.07404239998636208,-0.024584699818483984
8478413,-0.04787981832449548,8478413.0,Jordan Greenway,L,7,-0.008894334474070219,-0.07140258981103517,0.025789215440464003
8478414,0.15347914916464042,8478414.0,Timo Meier,R,1,-0.0021703254159019356,0.14563034274178535,-0.08994016720936401
8479359,-0.14877836870993216,8479359.0,Beck Malenstyn,L,7,-0.06453477814950456,-0.06903295062893999,0.04425394332766874
8479407,0.1152340844073625,8479407.0,Jesper Bratt,L,1,0.01869736516556142,0.37584900583724334,-0.13845771960755926
8479414,-0.17184515743849987,8479414.0,Nathan Bastian,R,1,-0.1131640919987616,-0.018617446917538215,-0.005115706157894117
8479420,0.09851292967382143,8479420.0,Tage Thompson,C,7,-0.007547399893224394,0.11490230815411531,-0.1489372339410524
8480002,0.1800227023017261,8480002.0,Nico Hischier,C,1,-0.01893340980796475,0.3184253303607599,-0.03041183858060992
8480035,-0.08657247730343283,8480035.0,Henri Jokiharju,D,7,-0.052001308489095024,-0.03247573188996362,0.06622857248206598
8480192,-0.10518886557452631,8480192.0,Johnathan Kovacevic,D,1,-0.17389464313208683,-0.13311496253532393,0.047686243834129796
8480802,0.00559526566638369,8480802.0,Ryan McLeod,C,7,0.04187005051286387,-0.07658632228811764,0.059423641771122006
8480807,-0.10576840579034123,8480807.0,Mattias Samuelsson,D,7,0.027131436329322477,-0.13690337272292086,0.1091439309124358
8480839,0.11820784212312947,8480839.0,Rasmus Dahlin,D,7,-0.0986832926846122,0.021318341236145184,-0.06380525580894825
8481032,-0.1001192100639258,8481032.0,Paul Cotter,L,1,-0.06356005222105551,-0.01254323936431813,-0.04422405961986445
8481524,-0.01834775172376224,8481524.0,Bowen Byram,D,7,0.029864110078167496,-0.053901618674840376,-0.005950808125249549
8481528,-0.003680676484450778,8481528.0,Dylan Cozens,C,7,0.13327038775911312,0.20614836567348638,-0.09394497260982249
8481559,0.2888036721672493,8481559.0,Jack Hughes,C,1,-0.08921444363907187,0.363106935096027,-0.14596118713794345
8482097,-0.03676505472942139,8482097.0,Jack Quinn,R,7,0.03629726771131073,-0.0019361827952903863,-0.07087655702158534
8482110,0.02000603949932562,8482110.0,Dawson Mercer,C,1,0.000943145627077703,-0.037533640347926334,0.04844334382103938
8482175,0.07540764455769482,8482175.0,JJ Peterka,R,7,0.12558346631338063,0.06409796386051834,-0.15475323230453
8482671,0.01560114438895908,8482671.0,Owen Power,D,7,0.021468406125157928,0.07486575901358387,-0.011959108933027688
8483429,-0.01258851811043023,8483429.0,Seamus Casey,D,1,0.01550231918450682,-0.003043057505802814,-0.0067221035805850714
8483495,-0.0975806136349012,8483495.0,Simon Nemec,D,1,0.07322657549750493,0.017160185652579346,-0.003803260049270757
8484145,0.026698947424676447,8484145.0,Zach Benson,L,7,-0.15194462352652904,0.03581558752088307,-0.06933797607569477
8477073,-0.08874395026814016,8477073.0,Kurtis MacDermid,L,1,-0.025610560822517198,-0.002265706847339038,-0.0038292653632479925
8481522,-0.09770087402228249,8481522.0,Peyton Krebs,C,7,-0.02016226997940646,-0.06709747690747023,0.04328683897823321
8483468,0.07484470096081366,8483468.0,Jiri Kulich,C,7,0.06781436595316595,0.013576535541731428,-0.054624154098520686
8470600,-0.11461065478381678,8470600.0,Ryan Suter,D,19,0.009316962326061586,-0.14217726570922742,0.10038921226161023
8474586,0.13186443832071504,8474586.0,Jordan Eberle,R,55,0.015986760174713704,-0.0241338294906201,-0.08168389468741
8475170,-0.04547591571316806,8475170.0,Brayden Schenn,C,19,0.03682862656932175,0.0006666084194453451,-0.04937129749856371
8475181,-0.07440294478843433,8475181.0,Nick Leddy,D,19,-0.0060201713935329705,-0.02936319230577328,0.007570946468944295
8475753,-0.21730345373808385,8475753.0,Justin Faulk,D,19,-0.08184499950019293,-0.0037389861356598372,-0.0443118363658074
8475768,-0.028742238569125354,8475768.0,Jaden Schwartz,L,55,0.03892162802649529,0.07445641324228353,-0.1400263003895465
8476457,-0.04039948864242795,8476457.0,Adam Larsson,D,55,0.053304233739931414,-0.19383181375169656,0.18065642828377565
8476467,-0.13553050113644002,8476467.0,Jamie Oleksiak,D,55,-0.015410714847750783,-0.196254573977689,0.22828188608918165
8476826,0.03179986304904429,8476826.0,Yanni Gourde,C,55,-0.07952886874761544,-0.019601637954742034,0.06139767077315001
8476889,-0.10719048615468152,8476889.0,Radek Faksa,C,19,-0.11002594745448684,-0.0563850719645408,0.08630010673121115
8476892,-0.06969610809811888,8476892.0,Colton Parayko,D,19,-0.066362978436108,-0.11300791563883025,0.1521470977449748
8476905,-0.12596363115550097,8476905.0,Chandler Stephenson,C,55,0.1304388711607101,-0.08367902396203013,-0.02766074673577028
8477402,0.15669121786480986,8477402.0,Pavel Buchnevich,L,19,0.006169228030983574,0.01923516958508367,-0.12256822614293177
8477416,-0.014708690771117864,8477416.0,Oliver Bjorkstrand,R,55,-0.12725586848185352,0.03873616314718403,-0.09291676935812565
8477444,-0.050250046735800136,8477444.0,Andre Burakovsky,L,55,0.0009990844731850809,0.08732178582998446,-0.07826848371000339
8477573,-0.179808827335285,8477573.0,Nathan Walker,L,19,-0.09904608655405296,-0.024466839643089426,0.09386843101718667
8477953,-0.12234620346990484,8477953.0,Kasperi Kapanen,R,19,0.02676061741063708,-0.018722180726702686,-0.04666216332486812
8477955,0.028011572990145152,8477955.0,Jared McCann,L,55,-0.03720393108335741,0.002732311799900769,-0.06924141423108071
8477986,0.05946983613796075,8477986.0,Brandon Montour,D,55,-0.012342380143265134,0.10414735582118693,-0.14424634837313563
8478407,0.1190805051428411,8478407.0,Vince Dunn,D,55,0.06093120831861106,-0.007524659972150754,-0.1146729272461433
8478472,-0.04476354812818953,8478472.0,Mathieu Joseph,R,19,-0.12280999324564233,-0.02187986753452735,-0.011957772662649505
8478840,-0.1682337385951798,8478840.0,Will Borgen,D,55,0.019144569079090863,-0.0698107006497327,0.07485610959133589
8479293,-0.07951196977981571,8479293.0,Brandon Tanev,L,55,0.02702951800094331,-0.16328922508801702,0.13485323384777773
8479385,0.09124990337312944,8479385.0,Jordan Kyrou,R,19,-0.089909866859297,0.090512313446693,-0.16557881698876098
8480009,-0.07089176117634574,8480009.0,Eeli Tolvanen,R,55,-0.022161046903219215,-0.0038683940931904916,-0.04073661121331584
8480023,0.2991553750304481,8480023.0,Robert Thomas,C,19,-0.007439024507362909,0.0333661823890589,-0.042359194652637676
8480074,-0.06488426747178574,8480074.0,Alexandre Texier,L,19,0.06330915104241368,-0.00036576803788543447,-0.008095644910256522
8480281,-0.17172392654619456,8480281.0,Alexey Toropchenko,R,19,-0.1129590815943851,-0.06763399721210643,0.029520531001929914
8481598,0.08465763954172066,8481598.0,Philip Broberg,D,19,-0.02201783611308712,-0.10497657941357519,0.0664116519458153
8481789,-0.021023158514034575,8481789.0,Tye Kartye,L,55,-0.11159567864734406,-0.02551096973236897,0.008742081725261527
8482077,0.08618436840817541,8482077.0,Dylan Holloway,L,19,-0.09127914528950161,0.037363116339808496,-0.09637216755428746
8482089,-0.08269375873179445,8482089.0,Jake Neighbours,L,19,0.017269996648185994,0.03150297484740581,-0.15693512638240484
8482516,-0.015146621907776119,8482516.0,Matthew Kessel,D,19,-0.007697855001994485,-0.00906329781251949,-0.003544776383656724
8482665,-0.02776554508189796,8482665.0,Matty Beniers,C,55,-0.09437245524876735,-0.02786605145076376,-0.12052817896119197
8482858,-0.1396027770176509,8482858.0,Ryker Evans,D,55,-0.024624046966558254,-0.06162330823783272,-0.010876270762457748
