term,even_xgf,playerId,name,position,teamId,even_xga,pp_xgf,pk_xga
8474037,-0.0032179256859209394,8474037.0,James van Riemsdyk,L,29,0.02098173921099832,0.007342445951376767,-0.07203605634632214
8474150,-0.005097636816671403,8474150.0,Mikael Backlund,C,20,-0.08253778463674626,-0.08292125516269047,0.09977428841848217
8475172,0.09443783728871372,8475172.0,Nazem Kadri,C,20,0.01624940257835063,0.05867633331996284,-0.07381850458377757
8476374,-0.11941493023438997,8476374.0,Sean Kuraly,C,29,0.0066923431253130715,-0.08743258384541147,0.10824018136490697
8476399,0.03436557457589396,8476399.0,Blake Coleman,L,20,-0.08892332095743011,-0.06115484121654688,0.07374777349623857
8476456,0.07531291940962648,8476456.0,Jonathan Huberdeau,L,20,0.05332715616123935,0.008307090176033845,-0.06523533792352759
8476923,0.009546654303767355,8476923.0,Damon Severson,D,29,-0.013848600763973724,0.02853423638066269,-0.015481173148457273
8477346,0.04157823048692299,8477346.0,MacKenzie Weegar,D,20,-0.028896935679244066,-0.07479622131195073,0.02062115373027224
8477497,0.14392238196944532,8477497.0,Sean Monahan,C,29,0.018501555614967247,0.03577794195049957,-0.03442493086164657
8478099,-0.06522762445162396,8478099.0,Kevin Labanc,R,29,-0.017428629364073536,-0.008669221580084834,0.0036544094032143685
8478397,-0.02987658928346218,8478397.0,Rasmus Andersson,D,20,0.1122691026472037,-0.07139105491700444,0.0747058833451222
8478460,0.3151520707770162,8478460.0,Zach Werenski,D,29,0.001238095522530235,0.03101780161422484,0.011147809565354825
8478500,-0.07536010997458717,8478500.0,Ivan Provorov,D,29,0.10274001141731859,-0.07655600507820637,0.1580168111820749
8479066,-0.1434332181585811,8479066.0,Ryan Lomberg,L,20,-0.02883672186764527,-0.007201209714798155,-0.0006485360762446422
8479291,-0.12107225391232683,8479291.0,Kevin Rooney,C,20,-0.033243469882942175,-0.06936775106740124,0.05140098636196712
8479371,-0.006195970153375894,8479371.0,Dante Fabbro,D,29,-0.026130455527775816,-0.08245634007659453,0.1502762660115022
8479402,-0.013925975122073438,8479402.0,Jake Bean,D,20,-0.07264912663626175,-0.006750410084383166,0.03375934618430484
8479671,-0.09194987760805809,8479671.0,Mathieu Olivier,R,29,-0.01868879270128527,-0.037296102557278915,-0.018577919612572425
8479941,-0.00797336260994161,8479941.0,Justin Danforth,R,29,-0.04349136344617626,-0.04627289931694693,0.09636618435951658
8479944,-0.04133345389083797,8479944.0,Zach Aston-Reese,L,29,0.003374860155455066,-0.06918955329485377,0.0903534122504204
8480860,-0.07746227813742486,8480860.0,Kevin Bahl,D,20,-0.07153119481573848,-0.08060624762580429,0.15475688771969293
8480887,-0.03133306519968093,8480887.0,Jordan Harris,D,29,0.06565255030108466,0.002645186160325872,-0.012440724248276984
8480893,0.17396097644432512,8480893.0,Kirill Marchenko,R,29,0.07092460293034053,0.09687682107812154,-0.12427483017393325
8481028,-0.05805500256280931,8481028.0,Martin Pospisil,C,20,-0.01219568698819941,0.003830014995041151,-0.003935603453201208
8481068,-0.07221700809985784,8481068.0,Yegor Sharangovich,C,20,0.05443904341803386,0.001739334922820116,-0.08432066413693885
8481161,-0.16533307224012134,8481161.0,Jake Christiansen,D,29,0.050492235084704545,-0.007842930305506018,0.04878418873637054
