,even_xga_occurrence,playerId,name,position,teamId,even_xga_magnitude,even_xgf_occurrence,even_xgf_magnitude,season
1031,-0.015432638271484566,8482055.0,Drew O'Connor,L,5,-0.05173323303461075,0.03712518028088287,0.02607470564544201,2021
846,0.007583368799272001,8480071.0,Robin Salo,D,2,0.05870389938354492,-0.043289816705963304,0.03404255956411362,2021
845,0.00686890472585949,8480070.0,Ian Mitchell,D,16,-0.02398352138698101,-0.009704478692989932,-0.014124635607004166,2021
938,-0.013445119735441444,8480901.0,Karson Kuhlman,C,6,0.0026641995646059513,-0.018762647846985035,0.048317648470401764,2021
1010,0.058583579744108036,8481600.0,Tobias Bjornfot,D,26,0.00037274957867339253,-0.009164631183721123,-0.04214000701904297,2021
1009,0.011331268139622189,8481599.0,Victor Soderstrom,D,53,-0.04203179478645325,-0.03415754724805056,-0.05431346222758293,2021
1008,-0.012854544897290161,8481598.0,Philip Broberg,D,22,-0.012644357047975063,-0.007310163653078985,-0.03575374186038971,2021
781,-0.004671438842394433,8479729.0,Kristians Rubins,D,10,-0.015548069030046463,-0.004072911338537974,-7.820466271368787e-05,2021
779,0.021059510623732867,8479718.0,Alex Barré-Boulet,C,14,0.009912735782563686,-0.021940026073109218,0.0016110263532027602,2021
778,-0.0009912485082812915,8479705.0,Jeffrey Viel,L,28,0.005108162760734558,-0.02544484431363913,0.001122265704907477,2021
777,-0.017954246636419143,8479675.0,Trevor Moore,L,26,0.03741561993956566,0.07215169033267359,-0.008593372069299221,2021
776,-0.014837932418784991,8479671.0,Mathieu Olivier,R,18,0.01974886655807495,-0.009786646264835832,-0.024475617334246635,2021
170,0.0035945085806881427,8475227.0,Chris Wideman,D,8,0.028813179582357407,0.01198270947457631,-0.02809242717921734,2021
171,0.00017010954620291956,8475231.0,Casey Cizikas,C,2,-0.004876363091170788,-0.08705486701720166,-0.03835506737232208,2021
172,0.043803709528844936,8475233.0,David Savard,D,8,-0.007773287128657103,-0.01162834003610981,0.03155434504151344,2021
1014,-0.021102041900682267,8481617.0,Vasily Podkolzin,R,23,-0.013063090853393078,0.008518589261705763,0.03889067843556404,2021
962,0.04231095734210363,8481147.0,Reese Johnson,C,16,-0.005438785068690777,-0.03930487052045925,-0.00010497353650862351,2021
975,-0.021953445789927487,8481517.0,Brett Leason,R,15,-0.04381386190652847,-0.018164180988287214,0.00017988622130360454,2021
961,0.004207077556328347,8481133.0,Cole Reinhardt,L,9,0.006085733417421579,-0.0026821641110993184,0.00019018577586393803,2021
959,0.014140563038850088,8481102.0,Egor Sokolov,L,9,-0.034707535058259964,0.003304299317855298,-0.018323050811886787,2021
958,0.004578252795702367,8481093.0,Rafael Harvey-Pinard,L,8,0.012211569584906101,0.002316466171015645,-0.009684993885457516,2021
987,0.01879522291557832,8481535.0,Nils Hoglander,L,23,-0.004207753110677004,0.01774144288162258,-0.017693474888801575,2021
989,0.0224260093091676,8481540.0,Cole Caufield,R,8,0.024969251826405525,0.015417752502023934,0.024919336661696434,2021
1018,0.008946843798945078,8481641.0,Joel Kiviranta,L,25,-0.031045733019709587,-0.00025971268217696113,-0.0319690965116024,2021
990,0.018144687236295774,8481542.0,Moritz Seider,D,17,0.02254294417798519,-0.011270118340603014,-0.010763595812022686,2021
1017,-0.0044210015791718155,8481626.0,Arttu Ruotsalainen,C,7,0.0006042906898073852,-0.008811380318085989,0.006941439118236303,2021
847,0.02215828546064478,8480072.0,Lias Andersson,C,26,0.02742666006088257,0.005342942413536556,-0.01945129968225956,2021
775,-0.001147037642818643,8479661.0,Tanner Jeannot,L,18,-0.018824391067028046,0.001750339523970384,0.005485125817358494,2021
848,0.00015645050171844653,8480073.0,Erik Brannstrom,D,9,-0.009538407437503338,-0.0053330923848199305,-0.013719357550144196,2021
850,-0.03298718547258072,8480078.0,Filip Chytil,C,3,0.03618423268198967,0.00715616125891174,0.06762411445379257,2021
794,-0.025888857651419267,8479980.0,Nicolas Hague,D,54,-0.0002713255234993994,0.0019230540745747244,-0.03073296695947647,2021
823,0.009363842715949644,8480021.0,Jack Studnicka,C,6,-0.027147328481078148,-0.006286745736650121,-0.025812800973653793,2021
767,-0.0017981601174493955,8479580.0,Dylan Gambrell,C,9,0.017083344981074333,-0.06776058547662779,-0.004530076403170824,2021
783,0.013681251028365326,8479933.0,Gerry Mayhew,C,4,-0.06335999816656113,0.007653135618112279,-0.07227814942598343,2021
785,-0.016056938180094047,8479941.0,Justin Danforth,R,29,-0.021901367232203484,0.018508108080535306,-0.007148818112909794,2021
786,-0.028109021135230002,8479944.0,Zach Aston-Reese,L,5,0.0023534316569566727,-0.04126529400935363,-0.06710980832576752,2021
606,0.006138454724808026,8478474.0,Lawson Crouse,L,53,-0.07846631854772568,-0.0009603148537589564,-0.00886168796569109,2021
604,-0.011268727324399876,8478472.0,Mathieu Joseph,R,9,-0.05093589797616005,0.007257321193590197,-0.03413362801074982,2021
603,0.004687581229994293,8478469.0,Thomas Chabot,D,9,0.00630913395434618,0.003923485354012773,0.016724146902561188,2021
601,-0.0007168956913828316,8478468.0,Jeremy Lauzon,D,18,-0.019358070567250252,-0.023360338434433355,-0.03777889162302017,2021
600,0.04756139393495991,8478467.0,Nicolas Meloche,D,28,-0.024688225239515305,-0.06446974646457473,-0.01137796975672245,2021
772,0.010753680188914509,8479619.0,Michael Carcone,L,53,0.012463555671274662,-0.002742309036180913,0.03448417782783508,2021
1016,-0.07095814641623005,8481624.0,Ilya Mikheyev,R,10,0.007735897321254015,0.014165570990693249,0.042699262499809265,2021
